,0
WW002,Barber Pond
WW005,Blackamore Pond
WW006,Boone Lake
WW007,Brickyard Pond
WW016,Georgiaville Pond
WW018,Indian Lake
WW025,Mashapaug Pond
WW049,Spectacle Pond
WW055,Tiogue Lake
WW059,Warwick Pond
WW062,Wenscott Reservoir
WW066,Worden Pond
WW134,Barney Pond
WW138,Larkin Pond
WW143,Scott Pond
WW145,Stafford Pond
WW150,Carbuncle Pond
WW199,Almy Pond
WW204,Tarkiln Pond
