Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Comments,Location,
WW06,10/05/2013,,Grab,Water ,1,Chloride - 00940,35,mg/l,,1,mg/l,1,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,Boone Lake,
WW06,11/02/2013,,Grab,Water ,1,Chloride - 00940,43,mg/l,,1,mg/l,1,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,Boone Lake,
WW06,12/07/2013,,Grab,Water ,1,Chloride - 00940,43,mg/l,,1,mg/l,1,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,Boone Lake,
WW01,5/11/2013, 12:20:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",3.4,m,,0.1,m,0.1,m,,,,Alton Pond,
WW01,5/11/2013, 12:20:00 PM,Composite,Water,,Secchi Depth - 00069,2.3,m,,0.1,m,0.1,m,,,,Alton Pond,
WW01,5/11/2013, 12:20:00 PM,Grab,Water,0.1,Temperature - 00011,18.7,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,Alton Pond,
WW01,5/11/2013, 12:20:00 PM,Grab,Water,1,Temperature - 00011,19.9,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,Alton Pond,
WW01,5/18/2013,,Grab,Water,1,Alkalinity - 00410,6.5,mg/l,,0,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,Alton Pond,
WW01,5/18/2013,,Grab,Water,1,Chloride - 00940,24,mg/l,,1,mg/l,1,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,Alton Pond,
WW01,5/18/2013,,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.2,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,Alton Pond,
WW01,5/18/2013, 10:05:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",3.5,m,,0.1,m,0.1,m,,,,Alton Pond,
WW01,5/18/2013,,Grab,Water,0.5,Enterococci - 31639,11.1,MPN/100ml,,1,MPN/100ml,1,MPN/100ml,URIWW,,,Alton Pond,
WW01,5/18/2013,,Grab,Water,1,"Nitrate + Nitrite, Dissolved - 00631",0.23,mg/l,,0.005,mg/l,0.005,ug/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,Alton Pond,
WW01,5/18/2013,,Grab,Water,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.035,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,Alton Pond,
